code,sdown_date,entry_date,gap_pct,open_time,open,mkt,scale_band,mrgn,openable_by_10,net_0930,net_1000,net_1030,net_close
4107,2024-06-18,2024-06-19,-17.75,09:27,25950.0,スタンダード,小型,信用,1,1.264,8.239,3.384,-5.595
4107,2024-06-19,2024-06-20,-14.54,09:21,20980.0,スタンダード,小型,信用,1,0.277,-3.537,-3.918,1.516
4592,2024-06-20,2024-06-21,-10.61,09:17,758.0,グロース,小型,信用,1,0.064,1.779,3.098,-8.116
7083,2024-06-27,2024-06-28,-16.95,15:00,3430.0,グロース,小型,信用,0,,,,-0.2
4169,2024-06-28,2024-07-01,-18.96,15:00,342.0,グロース,小型,貸借,0,,,,-0.2
4169,2024-07-01,2024-07-02,-37.43,09:45,214.0,グロース,小型,貸借,1,,4.94,5.875,-5.34
2934,2024-07-19,2024-07-22,-15.64,09:21,1850.0,グロース,小型,信用,1,0.989,-7.119,-5.227,-8.2
5246,2024-07-19,2024-07-22,-19.0,09:27,1236.0,グロース,小型,信用,1,4.978,0.852,7.81,12.017
7776,2024-07-19,2024-07-22,-19.06,15:00,637.0,グロース,小型,信用,0,,,,-0.2
7776,2024-07-22,2024-07-23,-15.7,15:00,537.0,グロース,小型,信用,0,,,,-0.2
3350,2024-07-25,2024-07-26,-15.45,09:12,186.0,スタンダード,小型,信用,1,13.241,12.703,28.295,24.531
3350,2024-07-30,2024-07-31,-10.6,09:12,1350.0,スタンダード,小型,信用,1,-13.015,-12.793,-14.126,-12.867
6537,2024-07-31,2024-08-01,-17.45,09:37,473.0,グロース,小型,貸借,1,,0.011,-0.2,-0.2
3189,2024-08-01,2024-08-02,-11.08,09:13,321.0,スタンダード,小型,信用,1,-5.184,-3.627,-7.988,-5.184
3841,2024-08-01,2024-08-02,-15.07,09:21,2255.0,スタンダード,小型,信用,1,-3.26,-3.127,5.521,7.561
3841,2024-08-02,2024-08-05,-10.29,09:12,2180.0,スタンダード,小型,信用,1,-8.136,-3.411,-8.686,-11.668
4080,2024-08-02,2024-08-05,-10.06,09:15,751.0,,,,1,-0.067,0.865,-0.333,-8.988
6521,2024-08-05,2024-08-06,-8.38,09:11,1858.0,グロース,小型,信用,1,-9.888,-9.457,-14.086,-14.032
2743,2024-08-14,2024-08-15,-30.3,15:00,69.0,,,,0,,,,-0.2
7063,2024-08-15,2024-08-16,-17.71,09:27,697.0,グロース,小型,信用,1,-0.2,-0.2,-0.2,-0.2
3667,2024-08-16,2024-08-19,-9.23,09:06,236.0,スタンダード,小型,貸借,1,2.342,1.919,2.766,-2.742
7063,2024-08-16,2024-08-19,-12.91,09:24,607.0,グロース,小型,信用,1,2.601,7.378,8.531,-1.847
3224,2024-08-29,2024-08-30,-18.12,09:21,1062.0,グロース,小型,信用,1,3.943,4.696,4.696,3.849
9229,2024-09-03,2024-09-04,-18.63,09:25,1966.0,プライム,小型,貸借,1,4.022,3.869,2.038,-0.81
6899,2024-09-30,2024-10-01,-10.63,09:12,2000.0,スタンダード,小型,信用,1,-0.35,-1.3,-1.85,-1.4
3738,2024-10-01,2024-10-02,-8.85,09:15,2666.0,,,,1,-0.2,-0.162,-0.2,-0.125
1322,2024-10-07,2024-10-08,-13.17,09:15,10680.0,その他,小型,貸借,1,2.375,1.298,0.128,-12.288
2530,2024-10-07,2024-10-08,-21.42,15:00,55040.0,その他,小型,貸借,0,,,,-0.2
1309,2024-10-08,2024-10-09,-16.72,09:28,48320.0,その他,小型,貸借,1,0.214,-0.159,0.4,-0.821
2530,2024-10-08,2024-10-09,-18.17,15:00,45040.0,その他,小型,貸借,0,,,,-0.2
2553,2024-10-08,2024-10-09,-49.72,10:36,17800.0,その他,小型,貸借,0,,,,9.351
2628,2024-10-08,2024-10-09,-16.67,10:47,5000.0,その他,小型,貸借,0,,,,-0.2
2629,2024-10-08,2024-10-09,-19.97,10:45,6010.0,その他,小型,貸借,0,,,,-0.2
2156,2024-10-09,2024-10-10,-19.43,15:00,622.0,スタンダード,小型,信用,0,,,,-0.2
2530,2024-10-09,2024-10-10,-15.54,15:00,38040.0,その他,小型,貸借,0,,,,-0.2
2628,2024-10-09,2024-10-10,-20.0,15:00,4000.0,その他,小型,貸借,0,,,,-0.2
2629,2024-10-09,2024-10-10,-16.64,15:00,5010.0,その他,小型,貸借,0,,,,-0.2
2530,2024-10-10,2024-10-11,-18.4,15:00,31040.0,その他,小型,貸借,0,,,,-0.2
2553,2024-10-10,2024-10-11,-26.45,09:36,11400.0,その他,小型,貸借,1,,-7.7,-15.112,-67.174
2628,2024-10-10,2024-10-11,-31.25,09:54,2750.0,その他,小型,貸借,1,,-1.545,-7.473,-9.291
2629,2024-10-10,2024-10-11,-19.96,15:00,4010.0,その他,小型,貸借,0,,,,-0.2
2530,2024-10-11,2024-10-15,-22.55,15:00,24040.0,その他,小型,貸借,0,,,,-0.2
2629,2024-10-11,2024-10-15,-17.46,15:00,3310.0,その他,小型,貸借,0,,,,-0.2
2530,2024-10-15,2024-10-16,-20.8,15:00,19040.0,その他,小型,貸借,0,,,,-0.2
2553,2024-10-15,2024-10-16,-41.23,10:15,1800.0,その他,小型,貸借,0,,,-7.144,-11.061
2629,2024-10-15,2024-10-16,-13.6,09:20,2860.0,その他,小型,貸借,1,-3.697,-3.347,-3.417,-3.102
7603,2024-10-15,2024-10-16,-15.75,09:12,214.0,スタンダード,小型,貸借,1,4.473,0.267,-0.2,0.735
2530,2024-10-16,2024-10-17,-21.01,15:00,15040.0,その他,小型,貸借,0,,,,-0.2
4664,2024-11-01,2024-11-05,-10.91,09:10,980.0,スタンダード,小型,信用,1,-6.322,-9.18,-4.588,-18.465
7063,2024-11-07,2024-11-08,-16.39,15:30,510.0,グロース,小型,信用,0,,,,-0.2
7063,2024-11-08,2024-11-11,-14.9,09:24,434.0,グロース,小型,信用,1,6.021,1.874,-4.578,-5.73
7071,2024-11-08,2024-11-11,-26.42,09:36,1114.0,プライム,小型,貸借,1,,-0.2,-0.2,-0.2
2901,2024-11-11,2024-11-12,-16.07,09:25,705.0,スタンダード,小型,信用,1,3.488,8.311,5.616,19.658
7071,2024-11-11,2024-11-12,-8.08,09:06,1024.0,プライム,小型,貸借,1,-8.11,-9.087,-9.575,-5.766
2743,2024-11-12,2024-11-13,-26.67,09:09,55.0,,,,1,21.618,23.436,28.891,30.709
3077,2024-11-12,2024-11-13,-10.45,09:15,394.0,スタンダード,小型,貸借,1,-0.454,-3.753,-5.022,-3.753
142A,2024-11-15,2024-11-18,-17.91,09:30,669.0,グロース,小型,信用,1,2.192,3.537,3.836,0.846
4894,2024-11-15,2024-11-18,-11.09,09:20,4650.0,グロース,小型,信用,1,5.176,12.488,16.144,8.617
9399,2024-11-27,2024-11-28,-20.41,15:30,2730.0,スタンダード,小型,信用,0,,,,-0.2
2934,2024-11-28,2024-11-29,-18.83,09:26,1379.0,グロース,小型,信用,1,7.124,5.746,11.475,31.2
5759,2024-11-28,2024-11-29,-83.52,12:42,72.0,,,,0,,,,1.189
9399,2024-11-28,2024-11-29,-18.32,15:30,2230.0,スタンダード,小型,信用,0,,,,-0.2
9399,2024-11-29,2024-12-02,-13.0,09:17,1940.0,スタンダード,小型,信用,1,11.656,-2.365,-8.035,-30.561
4073,2024-12-11,2024-12-12,-13.6,09:23,667.0,グロース,小型,信用,1,-0.5,-2.749,-1.999,-0.35
7806,2024-12-13,2024-12-16,-12.43,09:15,1550.0,グロース,小型,貸借,1,0.768,1.413,1.155,0.832
9468,2024-12-20,2024-12-23,-16.62,09:24,3076.0,プライム,中型,貸借,1,2.856,3.246,2.661,1.035
8894,2024-12-23,2024-12-24,-16.33,15:30,410.0,スタンダード,小型,貸借,0,,,,-0.2
7067,2025-01-06,2025-01-07,-14.54,09:15,1058.0,グロース,小型,信用,1,-0.011,-1.901,-1.996,-4.548
303A,2025-01-08,2025-01-09,-14.96,09:20,1990.0,グロース,小型,信用,1,0.453,-3.567,-5.627,-7.738
4935,2025-01-08,2025-01-09,-18.55,15:30,4390.0,スタンダード,小型,信用,0,,,,-0.2
4935,2025-01-09,2025-01-10,-15.95,15:30,3690.0,スタンダード,小型,信用,0,,,,-0.2
4935,2025-01-10,2025-01-14,-31.17,09:54,2540.0,スタンダード,小型,信用,1,,-4.806,-7.444,-21.46
205A,2025-01-15,2025-01-16,-21.89,15:30,1427.0,グロース,小型,信用,0,,,,-0.2
5247,2025-01-15,2025-01-16,-8.72,09:09,2930.0,グロース,小型,信用,1,4.066,7.138,4.919,0.141
205A,2025-01-16,2025-01-17,-12.61,09:15,1247.0,グロース,小型,信用,1,-1.162,-1.323,-3.007,-0.842
2553,2025-01-30,2025-01-31,-26.35,09:39,1730.0,その他,小型,貸借,1,,11.361,9.049,-1.154
2629,2025-01-30,2025-01-31,-24.44,09:39,2811.0,その他,小型,貸借,1,,4.638,14.528,0.761
4889,2025-01-30,2025-01-31,-22.3,09:30,1185.0,グロース,小型,信用,1,3.26,13.049,6.973,-5.263
9552,2025-01-31,2025-02-03,-11.32,09:15,1386.0,プライム,小型,貸借,1,2.83,9.396,8.891,7.159
2491,2025-02-03,2025-02-04,-12.09,09:21,800.0,プライム,小型,貸借,1,-4.575,-5.2,-5.2,-5.2
2345,2025-02-04,2025-02-05,-17.35,15:30,381.0,スタンダード,小型,信用,0,,,,-0.2
2345,2025-02-05,2025-02-06,-35.7,09:49,245.0,スタンダード,小型,信用,1,,1.024,0.616,-2.649
254A,2025-02-13,2025-02-14,-12.79,09:17,1636.0,スタンダード,小型,信用,1,-1.484,3.712,10.68,17.465
5243,2025-02-13,2025-02-14,-20.76,15:30,1909.0,グロース,小型,信用,0,,,,-0.2
6955,2025-02-13,2025-02-14,-16.67,09:29,450.0,スタンダード,小型,信用,1,-1.533,-1.978,-1.533,-2.422
3968,2025-02-14,2025-02-17,-12.3,09:19,499.0,プライム,小型,貸借,1,-0.4,-3.206,-2.805,-2.805
5243,2025-02-14,2025-02-17,-20.95,15:30,1509.0,グロース,小型,信用,0,,,,-0.2
5380,2025-02-14,2025-02-17,-20.92,15:30,1890.0,スタンダード,小型,信用,0,,,,-0.2
5535,2025-02-14,2025-02-17,-15.95,15:30,5270.0,プライム,小型,信用,0,,,,-0.2
4436,2025-02-17,2025-02-18,-19.66,09:52,613.0,グロース,小型,貸借,1,,-0.037,-0.2,4.205
3350,2025-02-26,2025-02-27,-19.96,15:30,4010.0,スタンダード,小型,信用,0,,,,-0.2
3350,2025-02-27,2025-02-28,-17.46,15:30,3310.0,スタンダード,小型,信用,0,,,,-0.2
5535,2025-02-27,2025-02-28,-18.22,09:24,1750.0,プライム,小型,信用,1,3.286,0.2,0.371,-4.771
8798,2025-03-03,2025-03-04,-17.09,15:30,388.0,プライム,小型,信用,0,,,,-0.2
8798,2025-03-04,2025-03-05,-20.62,09:27,308.0,プライム,小型,信用,1,1.423,2.722,1.423,1.748
2338,2025-03-07,2025-03-10,-11.15,09:18,510.0,スタンダード,小型,その他,1,-7.259,-7.259,-7.259,-7.259
3350,2025-03-10,2025-03-11,-13.29,09:18,3100.0,スタンダード,小型,信用,1,-1.006,-0.361,-0.684,7.542
8894,2025-03-12,2025-03-13,-34.48,15:30,95.0,スタンダード,小型,貸借,0,,,,-0.2
6656,2025-03-17,2025-03-18,-11.13,09:21,567.0,スタンダード,小型,貸借,1,-0.553,-0.905,0.682,7.384
4310,2025-03-28,2025-03-31,-20.35,09:34,2740.0,プライム,小型,貸借,1,,-0.2,-0.2,-0.2
6967,2025-03-31,2025-04-01,-10.19,09:15,6611.0,,,,1,0.375,-0.624,-1.849,-0.291
2334,2025-04-04,2025-04-07,-15.31,15:30,830.0,グロース,小型,信用,0,,,,-0.2
246A,2025-04-04,2025-04-07,-10.24,09:15,526.0,グロース,小型,信用,1,-3.622,0.18,3.983,-4.192
4412,2025-04-04,2025-04-07,-15.09,09:27,619.0,グロース,小型,信用,1,2.546,9.978,13.693,6.424
5803,2025-04-04,2025-04-07,-16.3,09:31,3592.0,プライム,大型,貸借,1,,2.473,3.336,-0.183
6967,2025-04-04,2025-04-07,-17.35,09:32,6194.0,,,,1,,2.884,1.931,0.091
8518,2025-04-04,2025-04-07,-12.38,09:11,184.0,スタンダード,小型,信用,1,-2.374,-0.2,3.061,0.343
9425,2025-04-04,2025-04-07,-12.66,09:21,490.0,スタンダード,小型,信用,1,-6.118,-5.71,-0.2,-6.118
1572,2025-04-07,2025-04-08,-10.13,09:15,5110.0,その他,小型,貸借,1,7.432,3.518,1.659,-1.57
260A,2025-04-28,2025-04-30,-23.74,15:30,257.0,,,,0,,,,-0.2
260A,2025-04-30,2025-05-01,-56.03,10:09,113.0,,,,0,,,6.88,-0.2
6026,2025-05-14,2025-05-15,-9.35,09:12,7270.0,,,,1,1.313,0.9,0.625,0.488
5027,2025-05-15,2025-05-16,-19.58,15:30,616.0,グロース,小型,信用,0,,,,-0.2
264A,2025-05-16,2025-05-19,-23.15,15:30,996.0,グロース,小型,信用,0,,,,-0.2
5027,2025-05-16,2025-05-19,-9.9,09:18,555.0,グロース,小型,信用,1,-8.128,-10.47,-9.389,-6.506
264A,2025-05-19,2025-05-20,-9.64,09:18,900.0,グロース,小型,信用,1,-1.422,-2.533,-3.089,-3.2
2435,2025-05-22,2025-05-23,-13.53,09:12,230.0,スタンダード,小型,貸借,1,-1.939,-3.243,-3.678,-5.852
3639,2025-05-23,2025-05-26,-18.83,09:21,263.0,スタンダード,小型,貸借,1,-5.903,-4.383,-4.383,-4.763
4166,2025-05-27,2025-05-28,-10.06,09:15,760.0,グロース,小型,信用,1,-0.463,-0.595,-0.332,-2.305
2196,2025-05-29,2025-05-30,-16.51,09:18,273.0,,,,1,4.196,25.075,26.174,-2.398
9348,2025-06-06,2025-06-09,-20.16,15:30,594.0,グロース,小型,信用,0,,,,-0.2
9222,2025-06-16,2025-06-17,-50.0,09:38,50.0,TOKYO PRO MARKET,小型,その他,1,,-0.2,-0.2,-0.2
5721,2025-06-18,2025-06-19,-16.37,09:19,286.0,スタンダード,小型,信用,1,-4.046,2.597,1.199,29.171
4592,2025-06-26,2025-06-27,-10.5,09:13,2131.0,グロース,小型,信用,1,-2.218,2.334,4.54,1.208
9240,2025-06-26,2025-06-27,-8.78,09:15,623.0,グロース,小型,信用,1,-3.41,-6.621,-6.621,-6.621
5721,2025-07-01,2025-07-02,-14.89,09:12,200.0,スタンダード,小型,信用,1,-0.7,-11.7,-10.2,-22.7
